"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"286","Gadd45a",1.02093921919514e-39,0.292033360446989,0.374,0.167,3.29610226917152e-35
"287","Ppib",1.13604642060415e-39,-0.427066486645761,0.913,0.901,3.66772586892051e-35
"288","Crybb1",1.36816378629154e-39,-0.489154534791359,0.036,0.164,4.41711678404224e-35
"289","Fgl2",2.62244511189648e-39,-0.561700590747425,0.726,0.769,8.46656404375777e-35
"290","Lgals3bp",2.63288921153586e-39,-0.725416360106401,0.801,0.785,8.50028281944354e-35
"291","Tnfrsf1b",2.76989540776662e-39,0.306271647681114,0.703,0.461,8.94260732397452e-35
"292","Arsb",2.8038641617579e-39,-0.35171135700243,0.058,0.198,9.05227544623538e-35
"293","Slfn1",3.2130288235242e-39,0.333647396780733,0.478,0.249,1.03732635567479e-34
"294","Rgs10",3.25904846475221e-39,-0.600043500025638,0.815,0.802,1.05218379684525e-34
"295","Smim4",4.34172330448216e-39,0.315594403919686,0.527,0.297,1.40172536885206e-34
"296","Phlda1",5.5239943575193e-39,0.334360143637481,0.449,0.228,1.78342157832511e-34
"297","Sephs2",6.399553255512e-39,0.268734118506645,0.501,0.266,2.06609576854205e-34
"298","Csf1r",9.03320675978221e-39,-0.581085632505566,0.945,0.876,2.91637080239569e-34
"299","Herpud1",1.43747284606222e-38,-0.566882597427589,0.156,0.314,4.64088108351187e-34
"300","Klrb1b",2.3259148783872e-38,-0.475970333891222,0.081,0.226,7.50921618487308e-34
"301","Cryba4",3.06992591474781e-38,-0.4038876419466,0.079,0.225,9.91125581576329e-34
"302","Tmem205",1.51193747474415e-37,0.252024809837295,0.433,0.217,4.88129013721148e-33
"303","Tomm6",2.21435468117591e-37,0.28178800369332,0.956,0.859,7.14904408817641e-33
"304","Pmp22",2.66852125173361e-37,-0.378209198298428,0.058,0.194,8.61532086122197e-33
"305","Ddost",2.88638492567467e-37,-0.592398153486742,0.624,0.647,9.31869373254066e-33
"306","D8Ertd738e",4.15152178079198e-37,0.283242356327914,0.898,0.72,1.34031880692869e-32
"307","Gnas",4.22334078933398e-37,-0.546199852081521,0.878,0.845,1.36350557383648e-32
"308","Prelid1",6.05903526833432e-37,0.303520070590436,0.929,0.787,1.95615953638174e-32
"309","Cox7a2",6.16289988647963e-37,0.269858848453172,0.956,0.864,1.98969222834995e-32
"310","Mmp8",1.37781628165394e-36,0.267034958655436,0.213,0.065,4.44827986531975e-32
"311","Dab2",1.59509194626216e-36,0.298248289197244,0.597,0.364,5.14975434850737e-32
"312","Prune2",1.7617750757515e-36,-0.313483987068418,0.043,0.169,5.6878908320637e-32
"313","Scoc",1.82942617367593e-36,-0.560403627993343,0.175,0.328,5.90630240171273e-32
"314","mt-Co3",2.96794513284564e-36,-0.404215369591489,0.997,0.996,9.58201086139214e-32
"315","Gpr141",3.13151918796625e-36,0.252432125072366,0.595,0.343,1.0110109698349e-31
"316","Abhd12",3.93793727703597e-36,-0.711083732263774,0.524,0.582,1.27136304989106e-31
"317","Esd",8.01527920361998e-36,0.341071690965932,0.867,0.696,2.58773289088871e-31
"318","Cxcl13",1.06200075418339e-35,-0.811982032997948,0.015,0.118,3.42866943488106e-31
"319","Cited2",2.58561221100538e-35,0.414229029368079,0.738,0.534,8.34764902323086e-31
"320","Hilpda",2.68299434251979e-35,0.304598356773389,0.287,0.117,8.66204723482514e-31
"321","Ctsl",2.96306173980109e-35,-1.0872540843316,0.795,0.746,9.56624482694782e-31
"322","Egln3",3.7064161576915e-35,0.256933954150683,0.355,0.164,1.1966164565107e-30
"323","Hspa5",4.41882812079338e-35,-0.597153513060509,0.819,0.796,1.42661865879814e-30
"324","Zfp36",4.89668267369399e-35,0.291595136184029,0.922,0.781,1.58089400120211e-30
"325","mt-Nd4",5.58320062507808e-35,-0.458913584088803,0.975,0.958,1.80253632180646e-30
"326","Mlxipl",6.8055703888643e-35,-0.274800951844198,0.017,0.119,2.19717840004484e-30
"327","Ccl4",1.17579802477487e-34,-1.43011153694832,0.252,0.416,3.79606392298567e-30
"328","Lpcat2",1.24625512102756e-34,-0.611803350683945,0.84,0.784,4.02353465823747e-30
"329","Glrx",1.2988093323644e-34,0.366062600460723,0.761,0.544,4.19320592953845e-30
"330","Ccnd1",1.80888189601619e-34,-0.495413640888725,0.142,0.291,5.83997520128828e-30
"331","Anxa4",3.04017050984285e-34,0.26124959538201,0.64,0.405,9.81519049102764e-30
"332","Klf6",3.13405118657561e-34,0.289332516809283,0.88,0.708,1.01182842558594e-29
"333","A930007I19Rik",4.1779260827582e-34,0.27357374300131,0.485,0.27,1.34884343581848e-29
"334","Slc16a3",4.6692836686466e-34,0.318738381416302,0.744,0.515,1.50747823242256e-29
"335","Atp6v1e1",5.41220600744463e-34,0.309828541438874,0.805,0.575,1.7473307095035e-29
"336","Higd1a",7.34844483829245e-34,0.3204991221228,0.821,0.635,2.37244541604272e-29
"337","Lamtor2",1.08442727841441e-33,0.288982203235089,0.799,0.608,3.50107346836093e-29
"338","Ube2a",1.35457042668156e-33,0.284813908269322,0.703,0.476,4.37323062254143e-29
"339","Junb",1.58843004589239e-33,0.26428376317881,0.976,0.899,5.12824640316358e-29
"340","mt-Nd2",1.75877064822731e-33,-0.487362385448891,0.901,0.878,5.67819103780186e-29
"341","Sap30",2.65152799356313e-33,0.267413447723402,0.572,0.337,8.56045812721855e-29
"342","Ltc4s",3.02708509113444e-33,-0.390061062385555,0.063,0.189,9.77294421672755e-29
"343","Itgax",3.15060522183822e-33,-0.493365903017088,0.192,0.334,1.01717289587047e-28
"344","Adgre5",3.99778925244114e-33,0.254087092702587,0.445,0.239,1.29068626015062e-28
"345","P2ry13",4.72188521343223e-33,-0.462053677498649,0.133,0.277,1.52446064115659e-28
"346","Xist",4.75878311009683e-33,-0.617883315909344,0.949,0.934,1.53637312709476e-28
"347","Atp6v1a",7.06294124475091e-33,0.251358888579119,0.533,0.318,2.28027058086783e-28
"348","Cdk2ap2",7.18645249168865e-33,0.295983804500003,0.838,0.637,2.32014618694168e-28
"349","Ndufv3",7.95167975646072e-33,0.286663434875909,0.872,0.72,2.56719980937334e-28
"350","Pdcd1",8.7758393123815e-33,-0.252925993589846,0.016,0.112,2.83327972200237e-28
"351","Tmem37",1.14263084332941e-32,0.293562683660012,0.436,0.236,3.68898367768899e-28
"352","Acod1",1.41079618666344e-32,0.412152431965803,0.671,0.458,4.55475548864293e-28
"353","Irf8",1.44491415993444e-32,-0.54823290327638,0.86,0.851,4.66490536534832e-28
"354","AI506816",3.38707242502012e-32,-0.347638629941728,0.075,0.204,1.09351633241775e-27
"355","Camk2n1",6.83474035265735e-32,-0.305307330618728,0.036,0.145,2.20659592285542e-27
"356","Gngt2",7.19317014151378e-32,0.344569819136286,0.869,0.736,2.32231498018772e-27
"357","Ap3s1",8.75086126822569e-32,0.261178627669185,0.678,0.448,2.82521556044667e-27
"358","Frmd4a",9.5872888641375e-32,-0.567028674468306,0.183,0.321,3.09525620978679e-27
"359","Abca1",1.38416177661439e-31,0.252605718862085,0.591,0.369,4.46876629579956e-27
"360","Xlr",1.53310740028174e-31,-0.362876534040328,0.081,0.213,4.9496372418096e-27
"361","Abracl",1.64663280661685e-31,0.261678295112249,0.904,0.737,5.31615401616251e-27
"362","Ccl5",1.70102479950001e-31,0.259469976676682,0.94,0.851,5.4917585651858e-27
"363","H2-Q4",2.39701735751308e-31,-0.441765115675142,0.785,0.793,7.73877053873097e-27
"364","Ypel3",2.54918755678194e-31,0.3190192201951,0.811,0.639,8.2300520270705e-27
"365","H2afj",2.63813461071322e-31,0.281125566563008,0.854,0.673,8.51721759068762e-27
"366","Fam167b",3.03698475447532e-31,-0.256913427108583,0.024,0.124,9.80490527982356e-27
"367","Rasal3",5.49305481244447e-31,-0.345152150859945,0.102,0.235,1.7734327461977e-26
"368","Ophn1",5.95823092521486e-31,-0.487083976190085,0.129,0.264,1.92361485420562e-26
"369","Ptgs2",1.30451500194225e-30,0.281684463716468,0.462,0.262,4.21162668377055e-26
"370","Scn1b",1.40927178603038e-30,-0.32443284257666,0.058,0.175,4.54983396119908e-26
"371","Cxcl1",1.58482185717655e-30,0.42369923415449,0.155,0.041,5.11659736589449e-26
"372","Znhit1",1.810498522812e-30,0.279378598297603,0.738,0.522,5.84519448089853e-26
"373","Ifitm3",2.84716545047696e-30,0.29493213655757,0.985,0.935,9.19207365686486e-26
"374","Cers6",3.05285550085406e-30,0.255225404415144,0.49,0.282,9.85614398450734e-26
"375","Fus",1.03093873894814e-29,-0.52382383933167,0.726,0.724,3.32838571869407e-25
"376","Bin2",1.18760983144872e-29,-0.604473078642465,0.618,0.64,3.8341983408322e-25
"377","Mrpl54",1.35060070295105e-29,0.263226099579333,0.777,0.557,4.36041436947746e-25
"378","Il1rn",1.48064012609745e-29,0.296882016286363,0.727,0.513,4.78024664710562e-25
"379","Sat1",1.93071559378775e-29,-0.543126829332507,0.904,0.863,6.23331529454374e-25
"380","Hmgn1",2.48317915368461e-29,-0.498234565166876,0.24,0.373,8.01694389767075e-25
"381","Ptgs1",2.95006656496559e-29,-0.671809034269693,0.302,0.413,9.5242899049914e-25
"382","mt-Atp6",3.16124938241349e-29,-0.398633106516523,0.997,0.998,1.0206093631122e-24
"383","Ero1l",5.55302845789943e-29,0.250259914265091,0.529,0.316,1.79279523763283e-24
"384","Rpl12",5.754825801145e-29,-0.314628771510457,0.959,0.941,1.85794550989966e-24
"385","Blnk",8.48396579602851e-29,-0.37765761990943,0.118,0.247,2.7390483572478e-24
"386","Klf13",1.39378728432658e-28,0.259203414217394,0.821,0.621,4.49984224744838e-24
"387","Plac8",2.36356031505407e-28,0.577066556774151,0.855,0.691,7.63075447715205e-24
"388","Ms4a6b",2.40802611593177e-28,0.339828962379499,0.74,0.53,7.77431231528573e-24
"389","Bnip3l",3.22280956082116e-28,0.263736639714252,0.769,0.562,1.04048406671111e-23
"390","Cd37",7.93090317719592e-28,-0.680879119495121,0.607,0.615,2.5604920907577e-23
"391","Ywhah",8.87360754532268e-28,-0.40513271927762,0.848,0.817,2.86484419600743e-23
"392","Tmem176b",9.91018111639334e-28,-0.597290933530256,0.244,0.381,3.19950197342759e-23
"393","Dynll1",1.65052269030324e-27,0.270226597368549,0.926,0.811,5.32871250564402e-23
"394","Limd2",1.94317237538915e-27,-0.480489898704959,0.665,0.699,6.27353201394386e-23
"395","App",3.35822407071372e-27,0.267726609332828,0.866,0.689,1.08420264122993e-22
"396","Adipor1",3.44440692376717e-27,0.253803693543194,0.777,0.579,1.11202677533823e-22
"397","Gng12",4.70108459614352e-27,0.281679135208242,0.654,0.457,1.51774516186494e-22
"398","Ndfip1",5.14949021824067e-27,-0.533656941686678,0.687,0.695,1.662512916959e-22
"399","Svbp",7.88735733758699e-27,0.267693977161082,0.758,0.552,2.54643331643996e-22
"400","Chmp2a",1.04596487170473e-26,0.259509374774864,0.877,0.702,3.37689758829871e-22
"401","Rhob",1.07146629970459e-26,-0.620737726740689,0.303,0.415,3.45922894859626e-22
"402","Nfkbia",1.18432699951357e-26,0.269203097823485,0.932,0.829,3.82359971792955e-22
"403","Ndufa4",2.95019849292917e-26,-0.469130110027131,0.568,0.6,9.52471583442183e-22
"404","Fcgrt",3.62641509658093e-26,-0.39861172975982,0.15,0.274,1.17078811393115e-21
"405","Tmem176a",6.09142865405443e-26,-0.518002366359375,0.16,0.29,1.96661774096147e-21
"406","Rpl22l1",6.63276968500598e-26,-0.39550163802472,0.904,0.886,2.14138969280418e-21
"407","Wnk1",6.73291391980355e-26,-0.601151780608083,0.495,0.538,2.17372125900858e-21
"408","Rpn2",1.07512919332323e-25,-0.502830940084324,0.633,0.627,3.47105460064404e-21
"409","Unc93b1",1.30426958605645e-25,-0.363278821686852,0.947,0.899,4.21083435858325e-21
"410","Pdgfb",1.59955497180652e-25,-0.256855827571508,0.06,0.165,5.16416322647736e-21
"411","Cnih4",2.61994583562773e-25,0.261325369163924,0.777,0.578,8.45849513032411e-21
"412","Ssr4",5.91776612347676e-25,-0.371634855560874,0.916,0.877,1.91055079296447e-20
"413","Spint1",6.66563958633088e-25,-0.444193999013517,0.523,0.599,2.15200174044692e-20
"414","Itgb5",7.35937180326309e-25,-0.781746612749127,0.687,0.641,2.37597318668349e-20
"415","Stmn1",9.63799617470745e-25,-0.622942737487791,0.135,0.252,3.1116270650043e-20
"416","Lpl",9.77072352461005e-25,-0.326839355418215,0.076,0.187,3.15447808992035e-20
"417","Nrp1",2.65054355434878e-24,-0.408327361069493,0.161,0.278,8.55727986521503e-20
"418","Dleu2",3.26664911308565e-24,0.257753488001888,0.766,0.592,1.0546376661597e-19
"419","Rsrp1",3.98545878948674e-24,-0.497467819533326,0.871,0.829,1.28670537018579e-19
"420","Bola2",5.27999960352369e-24,0.253173369674435,0.804,0.638,1.70464787199762e-19
"421","Tgfbr2",6.1028605518129e-24,-0.436135259000812,0.245,0.355,1.97030852915279e-19
"422","Ch25h",9.0178451597976e-24,-0.317965244540999,0.037,0.128,2.91141130984066e-19
"423","Hcar2",9.18239000067367e-24,-0.423360099904468,0.282,0.394,2.96453461171749e-19
"424","Qpct",1.40982884847835e-23,-0.339614532935718,0.081,0.189,4.55163243731234e-19
"425","Srsf2",1.57979227186091e-23,-0.373244035799661,0.762,0.759,5.10035934970294e-19
"426","Cd86",2.16491516444339e-23,-0.414817267828455,0.646,0.674,6.9894286084055e-19
"427","Dst",2.46489559204948e-23,-0.413463212388467,0.165,0.276,7.95791541893175e-19
"428","Lap3",3.63782755576384e-23,-0.510336347151869,0.401,0.474,1.17447262637835e-18
"429","Gm47283",3.74683110610219e-23,-0.564408055859078,0.451,0.505,1.20966442260509e-18
"430","Rogdi",1.21396200369719e-22,-0.438251215507654,0.188,0.304,3.91927632893636e-18
"431","Itm2b",2.12204568730704e-22,-0.560742087827613,0.992,0.983,6.85102450147079e-18
"432","Man2b1",2.22253482216422e-22,-0.495232933681705,0.694,0.689,7.17545367335718e-18
"433","Mt1",2.68654547847207e-22,0.260167564632642,0.87,0.721,8.67351207724709e-18
"434","Lair1",8.74132020477308e-22,-0.572470026237949,0.804,0.731,2.82213522811099e-17
"435","Pmepa1",1.30995589483768e-21,-0.432444548289707,0.354,0.449,4.22919260648344e-17
"436","Pou2f2",1.33274102977579e-21,-0.594658615691127,0.362,0.443,4.30275441463113e-17
"437","Klf2",1.36260846816805e-21,0.269425060703601,0.607,0.419,4.39918143948056e-17
"438","Mzt2",2.28434406234371e-21,-0.299107872970672,0.1,0.204,7.37500480527666e-17
"439","Tmsb4x",2.823438800424e-21,-0.264811930258567,1,0.998,9.11547216716889e-17
"440","Asph",4.60211184441987e-21,-0.522834586987286,0.23,0.33,1.48579180897095e-16
"441","Cd244a",5.45836391100974e-21,-0.29766605862042,0.078,0.176,1.76223278866949e-16
"442","Luc7l2",7.1235196715387e-21,-0.410404336070237,0.681,0.686,2.29982832595627e-16
"443","Bmyc",7.91912039413285e-21,-0.456972032554135,0.279,0.377,2.55668801924579e-16
"444","Ccl9",8.063058260372e-21,0.309224535939231,0.608,0.436,2.6031583593611e-16
"445","Epb41l2",8.43534221614544e-21,-0.463502869097167,0.604,0.611,2.72335023448255e-16
"446","Kctd12",8.61344064764887e-21,-0.527056956383442,0.406,0.469,2.78084931309344e-16
"447","Camk1",9.44310807649824e-21,-0.559938151797682,0.445,0.487,3.04870744249746e-16
"448","Chst1",1.48860920977432e-20,-0.374914768169902,0.147,0.255,4.80597483375638e-16
"449","Sft2d1",1.65708942282345e-20,-0.481267993685183,0.602,0.601,5.3499132015855e-16
"450","Ptp4a3",1.99887743328756e-20,-0.291026962430714,0.145,0.255,6.45337579336889e-16
"451","H2-Q7",2.00037943493012e-20,-0.279878517042125,0.912,0.908,6.45822500567188e-16
"452","Smad7",2.00294538385006e-20,-0.439870770343584,0.243,0.344,6.46650917175991e-16
"453","Pon3",2.19755785504422e-20,-0.398961957914948,0.176,0.281,7.09481553501025e-16
"454","Tmcc3",2.91026401567608e-20,-0.5131349416923,0.277,0.369,9.39578737461023e-16
"455","Gusb",7.64772439588953e-20,-0.549615944329795,0.67,0.634,2.46906782121294e-15
"456","Iigp1",8.49437772937418e-20,-0.652257768294773,0.536,0.608,2.74240984992845e-15
"457","Gm43305",8.53271533156206e-20,-0.433752243272018,0.15,0.256,2.75478714479481e-15
"458","Arhgap45",8.61999789512293e-20,-0.526298011949679,0.469,0.518,2.78296632044044e-15
"459","Lyn",9.14600525319438e-20,-0.434114446748527,0.659,0.664,2.95278779599381e-15
"460","mt-Nd1",9.91954404966253e-20,-0.351892405739294,0.985,0.982,3.20252479643355e-15
"461","Lmo2",1.28203306749383e-19,-0.476928094559667,0.418,0.482,4.13904375840383e-15
"462","Tspan13",2.01606669219533e-19,-0.450250778379508,0.258,0.358,6.50887131575262e-15
"463","Havcr2",2.05795264349659e-19,-0.392384585059039,0.208,0.314,6.64410010952875e-15
"464","Kcnk6",2.68221689083066e-19,-0.257775361171236,0.072,0.162,8.65953723204678e-15
"465","Tap1",3.26142678375531e-19,-0.290878129824633,0.798,0.795,1.0529516371354e-14
"466","Pdia6",4.36359710051392e-19,-0.443013030478283,0.779,0.742,1.40878732390092e-14
"467","Tspan3",4.39818785846276e-19,-0.394511355318551,0.21,0.31,1.4199549501047e-14
"468","Ifi47",5.2660690695719e-19,0.264813541997867,0.643,0.452,1.70015039911129e-14
"469","Spcs2",1.3114796335459e-18,-0.374192721695165,0.775,0.729,4.23411199690294e-14
"470","Hsp90b1",1.67023657251266e-18,-0.452682575987183,0.878,0.825,5.39235877435713e-14
"471","Atp8a1",2.23645126293825e-18,-0.433073539678705,0.26,0.344,7.22038290239615e-14
"472","Lamp2",2.31869284522159e-18,-0.394663714696936,0.883,0.817,7.48589985079792e-14
"473","Pdia4",2.77288303222143e-18,-0.449700613762552,0.445,0.494,8.95225286952688e-14
"474","Tgfbr1",4.6861595136373e-18,-0.540719152502885,0.573,0.58,1.5129265989778e-13
"475","Pik3r1",5.59501877712982e-18,-0.54980292831338,0.351,0.421,1.80635181219636e-13
"476","Dnmt3a",6.29430010117719e-18,-0.345829745889045,0.149,0.245,2.03211478766506e-13
"477","Daglb",6.96115226849923e-18,-0.484220348153492,0.309,0.389,2.24740800988498e-13
"478","Ctsb",7.30064570417102e-18,-0.467126919150546,0.986,0.961,2.35701346559161e-13
"479","Tmed3",8.33767351352635e-18,-0.397225136190249,0.66,0.639,2.69181789384198e-13
"480","Apbb1ip",1.04819846312102e-17,-0.461650890800142,0.454,0.5,3.3841087381862e-13
"481","Tuba1b",1.19542866567217e-17,-0.353610802823345,0.867,0.821,3.85944144712261e-13
"482","Otulinl",1.29116433283519e-17,-0.373216621384622,0.584,0.617,4.1685240485584e-13
"483","Smap2",2.04528539249092e-17,-0.414768943202797,0.347,0.414,6.60320388965693e-13
"484","Traf3ip3",3.3089484351002e-17,-0.274240029626307,0.12,0.215,1.0682940022721e-12
"485","Asah1",1.86966185144405e-16,-0.290875502173343,0.9,0.838,6.03620328738712e-12
"486","Ssr1",1.92643836138566e-16,-0.386431011156912,0.493,0.525,6.21950624973359e-12
"487","Calr",2.53527695328543e-16,-0.34429232298127,0.9,0.872,8.18514164368202e-12
"488","Syngr1",3.35986477473644e-16,-0.595770756062722,0.488,0.525,1.08473234252366e-11
"489","Il21r",5.3719274715252e-16,-0.37264872953892,0.539,0.573,1.73432678418191e-11
"490","Eif4a2",6.79193074521194e-16,-0.331976843983824,0.627,0.64,2.19277484109167e-11
"491","Slc12a9",7.47420597160014e-16,-0.420175153490715,0.211,0.3,2.41304739793111e-11
"492","Gm49980",1.12593713813169e-15,-0.261299436312084,0.139,0.229,3.63508805045816e-11
"493","Tubb5",2.24910129315275e-15,-0.3640180792156,0.849,0.814,7.26122352494364e-11
"494","Aif1",2.8620294583217e-15,-0.285058540547146,0.952,0.899,9.2400621061916e-11
"495","Cmtm6",4.21405940196254e-15,-0.421899773675915,0.342,0.405,1.36050907792361e-10
"496","Glmp",4.82210249963369e-15,-0.393689358023921,0.671,0.645,1.55681579200674e-10
"497","Ms4a4c",4.99105778313452e-15,0.278027301501677,0.714,0.546,1.61136300528498e-10
"498","Qk",8.63135727072419e-15,-0.495526940936656,0.566,0.552,2.78663369485331e-10
"499","B930036N10Rik",2.61185678974048e-14,-0.415370189957683,0.148,0.231,8.43237964567713e-10
"500","Mertk",3.73705364079989e-14,-0.471494601448992,0.262,0.329,1.20650776793224e-09
"501","Cyb561a3",4.10896959569662e-14,-0.283647697811748,0.156,0.24,1.32658083397065e-09
"502","Mbnl1",4.96953312454329e-14,-0.406333082376628,0.665,0.641,1.6044137692588e-09
"503","Srgap2",5.40607964695869e-14,-0.366015729408587,0.243,0.319,1.74535281402061e-09
"504","Ppt1",1.00040604464958e-13,-0.371851672979513,0.732,0.682,3.22981091515118e-09
"505","Icosl",1.0270676523906e-13,-0.267572672168561,0.125,0.205,3.31588791574307e-09
"506","AC149090.1",1.11346082907008e-13,-0.4860875554725,0.497,0.517,3.59480828665275e-09
"507","mt-Nd3",1.46294290784469e-13,-0.453880086162442,0.614,0.589,4.72311117797659e-09
"508","H2-DMb2",1.60458974170241e-13,-0.638575165958753,0.186,0.261,5.18041798108623e-09
"509","Ivns1abp",3.32072172953942e-13,-0.39906683275814,0.485,0.504,1.0720950103818e-08
"510","Canx",3.80042083957848e-13,-0.330985504354657,0.715,0.687,1.22696586805791e-08
"511","Slamf9",4.37362290911069e-13,-0.396825634878523,0.383,0.427,1.41202415620639e-08
"512","Ccl3",5.77397356629324e-13,-0.950669253000847,0.242,0.327,1.86412736587777e-08
"513","Gm46224",8.73277218258377e-13,-0.402303743800478,0.332,0.398,2.81937549914717e-08
"514","Psap",8.98439012819406e-13,-0.262077456043691,0.99,0.979,2.90061035288745e-08
"515","Ssr2",1.53304523495146e-12,-0.320824067051741,0.639,0.612,4.94943654104079e-08
"516","Evl",1.562103107264e-12,-0.363966717927803,0.644,0.615,5.04324988180182e-08
"517","Tmed9",2.59661461954293e-12,-0.257708115713532,0.805,0.742,8.38317029919436e-08
"518","Malat1",2.89333393277049e-12,-0.305071693990323,0.989,0.988,9.34112860194951e-08
"519","Sdf2l1",3.21907437328325e-12,-0.380986264804068,0.733,0.701,1.0392781614145e-07
"520","Hps4",3.54363363807632e-12,-0.29128071481159,0.191,0.266,1.14406212005294e-07
"521","Pik3ap1",3.84713715376831e-12,-0.425484635572227,0.463,0.489,1.2420482300941e-07
"522","Hexa",4.58458055092617e-12,-0.334685662624249,0.911,0.853,1.48013183086651e-07
"523","Syngr2",5.8376127077986e-12,-0.468860938659377,0.812,0.767,1.88467326271278e-07
"524","Etnk1",6.46358541362063e-12,-0.352830426513665,0.216,0.287,2.08676855078742e-07
"525","Srgn",7.07022874965181e-12,0.30935514935685,0.957,0.915,2.28262335182509e-07
"526","Cyth4",7.72094431326635e-12,-0.350964838159029,0.654,0.628,2.49270687153804e-07
"527","Ctss",1.01499324499661e-11,-0.295718700363559,0.994,0.99,3.27690569147155e-07
"528","Cd48",1.13030023459511e-11,-0.31943798312488,0.642,0.616,3.64917430739032e-07
"529","Mtdh",1.1511871666177e-11,-0.349549063669252,0.682,0.658,3.71660776742525e-07
"530","Tnfsf13b",1.34518004173432e-11,-0.342077013711696,0.284,0.342,4.34291376473924e-07
"531","Klrk1",2.27195304825509e-11,-0.661849275572111,0.148,0.216,7.33500041629155e-07
"532","Slc3a2",3.77996189914068e-11,-0.274039740895355,0.825,0.775,1.22036069913757e-06
"533","Il10ra",4.6046928926456e-11,-0.37861965992858,0.424,0.459,1.48662510039063e-06
"534","Sf3b1",4.62703081922702e-11,-0.288909316570622,0.721,0.673,1.49383689998744e-06
"535","Ccnt2",8.83366313452862e-11,-0.370987009106771,0.342,0.388,2.85194814298257e-06
"536","Ccl7",9.02384592346168e-11,-0.504181497675462,0.066,0.127,2.9133486563896e-06
"537","Fbrsl1",9.76870793782149e-11,-0.298619872927048,0.188,0.256,3.15382735772567e-06
"538","Adap2os",1.08458947904411e-10,-0.390861747630146,0.438,0.472,3.50159713309392e-06
"539","Sdf4",1.75220170149016e-10,-0.298104410928303,0.7,0.645,5.65698319326097e-06
"540","Gm26917",2.02787117714907e-10,-0.472261435936318,0.518,0.519,6.54698209542577e-06
"541","Selenof",2.56810840870499e-10,-0.251434540018398,0.837,0.785,8.29113799750405e-06
"542","Alkbh1",3.54969655039533e-10,-0.298872463159715,0.214,0.277,1.14601953129513e-05
"543","Sirpa",3.61575436699195e-10,-0.31477698190983,0.708,0.666,1.16734629738335e-05
"544","Ang",5.55116092110115e-10,-0.306949120876903,0.221,0.289,1.79219230337751e-05
"545","Itga6",6.20737327696912e-10,-0.281378441193078,0.137,0.201,2.00405046246948e-05
"546","Selenop",6.80660764678835e-10,-0.470614013305098,0.674,0.619,2.19751327876562e-05
"547","Gm4951",1.09862654759816e-09,-0.431280087743792,0.364,0.4,3.54691580892067e-05
"548","Nek7",1.12495895744034e-09,-0.316151447864742,0.266,0.322,3.63192999409615e-05
"549","Son",1.24869919880677e-09,-0.258406052928417,0.918,0.865,4.03142536334767e-05
"550","Arl6ip5",1.34653207537521e-09,-0.316059724745681,0.576,0.558,4.34727880534885e-05
"551","Lacc1",1.73791362355352e-09,-0.392696746996696,0.467,0.471,5.61085413364252e-05
"552","Ntpcr",2.06162472164001e-09,-0.411559704225505,0.479,0.481,6.65595541381477e-05
"553","Pde3b",2.51801143168007e-09,-0.287911167395144,0.203,0.261,8.12939990717912e-05
"554","Snrk",2.79058135880102e-09,-0.342946257272892,0.157,0.218,9.00939191688909e-05
"555","Ptms",3.04019048476929e-09,-0.285909881798708,0.775,0.738,9.81525498007766e-05
"556","Tcf4",3.37525789129014e-09,-0.375865248550913,0.391,0.423,0.000108970201020302
"557","Rtcb",3.74680105805361e-09,-0.319588910413147,0.614,0.591,0.000120965472159261
"558","Mpeg1",3.95900458839243e-09,-0.27439125987464,0.906,0.844,0.00012781646313625
"559","C4b",4.83871188458983e-09,-0.358514614626089,0.198,0.259,0.000156217813193983
"560","Rbm25",4.99050587867485e-09,-0.318391613162983,0.731,0.678,0.000161118482293018
"561","Saraf",5.09476174424008e-09,-0.346780226175122,0.53,0.52,0.000164484382912791
"562","Celf2",6.14770001045166e-09,-0.316844718422438,0.623,0.593,0.000198478494837432
"563","Stat2",6.66019259599238e-09,-0.329763816843333,0.267,0.319,0.000215024317961614
"564","Ifngr1",6.88853048164037e-09,-0.336697684187002,0.737,0.693,0.000222396206599759
"565","Tcn2",7.09059814461187e-09,-0.393070136485973,0.493,0.49,0.000228919961098794
"566","Etv3",7.48485223124609e-09,-0.312176912907935,0.167,0.226,0.00024164845428578
"567","Manf",9.38020903130473e-09,-0.311883222551188,0.727,0.687,0.000302840048575673
"568","Ddx39b",1.16666055833578e-08,-0.291356764537523,0.451,0.467,0.000376656361258706
"569","Fchsd2",1.50478243680267e-08,-0.250855062863194,0.112,0.168,0.000485819009721743
"570","Lrrk1",1.81565993184666e-08,-0.341884538034757,0.323,0.362,0.000586185808996693
"571","Naglu",1.82977708695238e-08,-0.341641039233385,0.381,0.406,0.000590743532522577
"572","Ergic3",1.88086552544389e-08,-0.31023653603856,0.686,0.626,0.00060723743488956
"573","Snrnp70",2.02220826024042e-08,-0.366448825169799,0.637,0.608,0.000652869936818618
"574","Mlec",2.07215041860638e-08,-0.298572258280428,0.315,0.356,0.00066899376264707
"575","Crlf3",2.18681215442404e-08,-0.298747154819167,0.384,0.414,0.0007060123040558
"576","Bmp2k",2.6803083180513e-08,-0.400279132236191,0.457,0.459,0.000865337540482862
"577","Itpr2",3.0812699399141e-08,-0.264114495776587,0.176,0.23,0.000994788000101266
"578","Tra2b",3.19748470394914e-08,-0.289914112596033,0.715,0.667,0.00103230793666998
