"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"68","Dusp1",4.73645746923166e-89,0.6668031684798,0.945,0.772,1.52916529394144e-84
"69","Ly86",8.27569203644813e-89,-1.87982809947022,0.848,0.851,2.67180717396728e-84
"70","Msr1",2.30949604979495e-88,0.530761716823635,0.623,0.28,7.45620799676299e-84
"71","Mif",7.81081687702172e-88,0.534848095446446,0.965,0.876,2.52172222874646e-83
"72","Cfb",1.91393735176092e-87,0.652712432813805,0.919,0.661,6.17914674016012e-83
"73","Cd36",4.86610181706459e-87,-0.807822675485361,0.093,0.351,1.5710209716393e-82
"74","Pid1",8.53935606017539e-87,0.576739419331192,0.875,0.563,2.75693110402763e-82
"75","Adssl1",3.50693027877574e-86,0.523751409089037,0.708,0.359,1.13221244050275e-81
"76","Serinc3",3.51348790602522e-86,-0.980542638475562,0.88,0.876,1.13432957046024e-81
"77","Gm21188",3.94614635112914e-86,0.508762294745027,0.693,0.336,1.27401334946204e-81
"78","Ninj1",5.12241323730205e-86,0.637340208864233,0.871,0.616,1.65377111366297e-81
"79","Slc7a2",7.14425824444342e-86,0.565500745567201,0.558,0.235,2.30652377421856e-81
"80","Txn1",9.44065878532691e-85,0.520198607429266,0.975,0.874,3.04791668884279e-80
"81","Lst1",9.84274482362041e-85,0.601363977440946,0.949,0.774,3.17773016630585e-80
"82","Plaur",2.08850154460219e-84,0.594575091445271,0.789,0.473,6.74272723674818e-80
"83","Fabp5",9.59529940395644e-84,1.06838471987242,0.59,0.28,3.09784241256734e-79
"84","Serpine2",1.21041927875101e-83,-0.717608212279441,0.044,0.275,3.90783864144765e-79
"85","Tmem119",1.86473284628667e-83,-1.29538901476377,0.262,0.496,6.0202899942365e-79
"86","Slc1a3",4.07943299307948e-83,-0.702155974291458,0.038,0.263,1.31704494181571e-78
"87","Arpc1b",4.86364281877073e-83,0.36232402716207,0.987,0.952,1.57022708404013e-78
"88","Clec4e",1.17877387316371e-82,0.628024935600594,0.743,0.406,3.80567144950905e-78
"89","Nav3",1.00278612974283e-81,-0.686523078713936,0.037,0.257,3.23749501987473e-77
"90","Rgcc",1.30284446615798e-81,0.545466122540591,0.482,0.176,4.20623335899103e-77
"91","P2ry12",2.19272258744396e-81,-1.17009757617752,0.183,0.427,7.07920487356281e-77
"92","Ahnak",7.45705568445446e-81,0.429517674482937,0.617,0.279,2.40751042772612e-76
"93","Cyba",6.60270496703461e-80,0.34862284355909,0.991,0.976,2.13168329860712e-75
"94","Cd14",9.5362021000136e-80,0.570236712805361,0.924,0.719,3.07876284798939e-75
"95","Metrnl",4.39204578857219e-79,0.491997308273111,0.59,0.266,1.41797198284053e-74
"96","Fgd2",1.57072810230197e-78,-0.778036210502637,0.153,0.401,5.07109567828189e-74
"97","Pkm",3.83354043597752e-78,0.460377854540866,0.984,0.921,1.23765852975534e-73
"98","H2-Oa",8.9818510541521e-78,-0.960373734719639,0.234,0.471,2.899790612833e-73
"99","Card19",1.08652922517052e-77,0.529799576688258,0.795,0.505,3.50785960346303e-73
"100","Acp5",1.37994889979673e-77,0.600485810855184,0.576,0.267,4.45516502299374e-73
"101","Ctsz",3.71264555936087e-77,-0.628075129499227,0.987,0.977,1.19862761883966e-72
"102","Mef2c",1.11218001333173e-76,-1.05939273767242,0.301,0.522,3.59067317304149e-72
"103","S100a10",3.13775722294551e-76,0.466534165424455,0.838,0.518,1.01302491942796e-71
"104","Sod2",8.1528099867284e-76,0.576750019455678,0.918,0.683,2.63213470421526e-71
"105","Timp2",1.24570032233161e-75,-1.3487377512947,0.357,0.546,4.02174349064759e-71
"106","Gapdh",2.18590871598221e-74,0.399234593192374,0.986,0.966,7.05720628954857e-70
"107","Bnip3",3.30018491612267e-74,0.534051918664592,0.71,0.405,1.0654647001702e-69
"108","Ecm1",1.90959073165682e-73,0.43498917426975,0.507,0.201,6.16511367715403e-69
"109","Klf4",3.07571320434476e-73,0.547012393180735,0.727,0.425,9.92994008022707e-69
"110","Alox5ap",2.2337667310442e-72,0.495107037776681,0.947,0.834,7.2117158911762e-68
"111","S100a6",3.86441001945385e-71,0.557415600494255,0.884,0.59,1.24762477478068e-66
"112","Phyhd1",4.79948036696395e-71,-0.557617504681444,0.054,0.264,1.54951223647431e-66
"113","Phgdh",1.10569921440065e-70,-0.586279518130893,0.065,0.28,3.56974991369249e-66
"114","Pgk1",6.16379153123515e-70,0.493077755458107,0.921,0.747,1.98998009585927e-65
"115","Gpnmb",8.70603624512583e-70,0.760393624893572,0.445,0.169,2.81074380173887e-65
"116","Bst1",1.12959789863442e-69,0.43108255575278,0.65,0.336,3.64690681574123e-65
"117","Tnfaip2",1.13130854910569e-69,0.610463267450791,0.846,0.575,3.65242965078773e-65
